,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80
T1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
